07/09 12:43:27 AM | 
07/09 12:46:17 AM | Train: [  1/600] Step 071/071 Loss: 1.072 Recall: 0.500 FA: 7 F1: 0.565217
07/09 12:46:17 AM | [16  7 13 13]
07/09 12:46:17 AM | Train: [  1/600] Final Recall 33.4497% FA 3462 F1: 39.0695%
07/09 12:46:17 AM | [5600 3462 6098 3065]
07/09 12:46:17 AM | Valid: [  1/600] Step 000/061 Loss: 0.806 Recall: 0.333 FA: 99 F1: 0.110236
07/09 12:46:17 AM | [136  99  14   7]
07/09 12:46:21 AM | Valid: [  1/600] Final Recall 32.7902% FA 2723 F1: 9.5407%
07/09 12:46:21 AM | [4466 2723  330  161]
07/09 12:46:21 AM | Valid: Time Spent: 4.516148s
07/09 12:46:21 AM | 

07/09 12:46:21 AM | [0.09540740740740743]
