07/09 12:26:37 AM | 
07/09 12:27:42 AM | Valid: Time Spent: 3.685250s
07/09 12:27:42 AM | 

07/09 12:27:42 AM | Epoch 1 LR 0.012500000000000006
07/09 12:27:44 AM | Train: [  2/600] Step 000/071 Loss: 0.438 Recall: 0.852 FA: 17 F1: 0.855967
07/09 12:27:44 AM | [117  17  18 104]
07/09 12:28:01 AM | Train: [  2/600] Step 050/071 Loss: 0.328 Recall: 0.983 FA: 23 F1: 0.904943
07/09 12:28:01 AM | [112  23   2 119]
07/09 12:28:09 AM | Train: [  2/600] Step 071/071 Loss: 0.321 Recall: 0.875 FA: 1 F1: 0.913043
07/09 12:28:09 AM | [24  1  3 21]
07/09 12:28:09 AM | Train: [  2/600] Final Recall 92.5022% FA 976 F1: 90.9884%
07/09 12:28:09 AM | [8233  976  676 8340]
07/09 12:28:09 AM | Valid: [  2/600] Step 000/061 Loss: 0.328 Recall: 0.947 FA: 26 F1: 0.571429
07/09 12:28:09 AM | [211  26   1  18]
07/09 12:28:12 AM | Valid: [  2/600] Final Recall 80.4481% FA 977 F1: 42.4047%
07/09 12:28:12 AM | [6212  977   96  395]
07/09 12:28:12 AM | Valid: Time Spent: 3.623960s
07/09 12:28:12 AM | 

07/09 12:28:12 AM | Epoch 2 LR 0.0
07/09 12:28:13 AM | Train: [  3/600] Step 000/071 Loss: 0.233 Recall: 0.931 FA: 8 F1: 0.934363
07/09 12:28:13 AM | [118   8   9 121]
07/09 12:28:31 AM | Train: [  3/600] Step 050/071 Loss: 0.281 Recall: 0.939 FA: 19 F1: 0.891667
07/09 12:28:31 AM | [123  19   7 107]
07/09 12:28:38 AM | Train: [  3/600] Step 071/071 Loss: 0.282 Recall: 0.923 FA: 1 F1: 0.941176
07/09 12:28:38 AM | [22  1  2 24]
07/09 12:28:38 AM | Train: [  3/600] Final Recall 94.4913% FA 828 F1: 92.8391%
07/09 12:28:38 AM | [8266  828  503 8628]
07/09 12:28:38 AM | Valid: [  3/600] Step 000/061 Loss: 0.365 Recall: 0.727 FA: 32 F1: 0.457143
07/09 12:28:38 AM | [202  32   6  16]
07/09 12:28:43 AM | Valid: [  3/600] Final Recall 80.0425% FA 922 F1: 42.5989%
07/09 12:28:43 AM | [6037  922   94  377]
07/09 12:28:43 AM | Valid: Time Spent: 5.235561s
07/09 12:28:43 AM | 

07/09 12:28:43 AM | [0.32556270096463025, 0.42404723564143854, 0.4259887005649718]
07/09 12:28:43 AM | Model size = 1.365 MB
07/09 12:28:43 AM | Epoch 0 LR 0.037500000000000006
07/09 12:28:45 AM | Train: [  1/600] Step 000/071 Loss: 1.113 Recall: 0.416 FA: 105 F1: 0.354717
07/09 12:28:45 AM | [ 38 105  66  47]
07/09 12:29:02 AM | Train: [  1/600] Step 050/071 Loss: 0.509 Recall: 0.869 FA: 18 F1: 0.865900
07/09 12:29:02 AM | [108  18  17 113]
07/09 12:29:10 AM | Train: [  1/600] Step 071/071 Loss: 0.473 Recall: 0.941 FA: 9 F1: 0.761905
07/09 12:29:10 AM | [23  9  1 16]
07/09 12:29:10 AM | Train: [  1/600] Final Recall 86.1898% FA 1480 F1: 85.1249%
07/09 12:29:10 AM | [7672 1480 1253 7820]
07/09 12:29:10 AM | Valid: [  1/600] Step 000/061 Loss: 0.512 Recall: 0.714 FA: 34 F1: 0.428571
07/09 12:29:10 AM | [201  34   6  15]
07/09 12:29:14 AM | Valid: [  1/600] Final Recall 79.2261% FA 958 F1: 42.3286%
07/09 12:29:14 AM | [6231  958  102  389]
07/09 12:29:14 AM | Valid: Time Spent: 3.459787s
07/09 12:29:14 AM | 

07/09 12:29:14 AM | Epoch 1 LR 0.012500000000000006
07/09 12:29:15 AM | Train: [  2/600] Step 000/071 Loss: 0.379 Recall: 0.833 FA: 7 F1: 0.884615
07/09 12:29:15 AM | [111   7  23 115]
07/09 12:29:33 AM | Train: [  2/600] Step 050/071 Loss: 0.327 Recall: 0.957 FA: 11 F1: 0.933333
07/09 12:29:33 AM | [128  11   5 112]
07/09 12:29:40 AM | Train: [  2/600] Step 071/071 Loss: 0.313 Recall: 0.913 FA: 2 F1: 0.913043
07/09 12:29:40 AM | [24  2  2 21]
07/09 12:29:40 AM | Train: [  2/600] Final Recall 92.0391% FA 886 F1: 91.2327%
07/09 12:29:40 AM | [8232  886  725 8382]
07/09 12:29:40 AM | Valid: [  2/600] Step 000/061 Loss: 0.347 Recall: 0.833 FA: 28 F1: 0.555556
07/09 12:29:40 AM | [204  28   4  20]
07/09 12:29:45 AM | Valid: [  2/600] Final Recall 84.7458% FA 946 F1: 44.0044%
07/09 12:29:45 AM | [6012  946   72  400]
07/09 12:29:45 AM | Valid: Time Spent: 4.943251s
07/09 12:29:45 AM | 

07/09 12:29:45 AM | Epoch 2 LR 0.0
07/09 12:29:47 AM | Train: [  3/600] Step 000/071 Loss: 0.333 Recall: 0.957 FA: 16 F1: 0.913580
07/09 12:29:47 AM | [124  16   5 111]
07/09 12:30:04 AM | Train: [  3/600] Step 050/071 Loss: 0.297 Recall: 0.910 FA: 14 F1: 0.903704
07/09 12:30:04 AM | [108  14  12 122]
07/09 12:30:12 AM | Train: [  3/600] Step 071/071 Loss: 0.295 Recall: 0.850 FA: 5 F1: 0.809524
07/09 12:30:12 AM | [24  5  3 17]
07/09 12:30:12 AM | Train: [  3/600] Final Recall 92.1594% FA 742 F1: 92.0492%
07/09 12:30:12 AM | [8300  742  720 8463]
07/09 12:30:12 AM | Valid: [  3/600] Step 000/061 Loss: 0.342 Recall: 0.952 FA: 23 F1: 0.625000
07/09 12:30:12 AM | [212  23   1  20]
07/09 12:30:15 AM | Valid: [  3/600] Final Recall 80.7615% FA 842 F1: 46.2156%
07/09 12:30:15 AM | [6339  842   96  403]
07/09 12:30:15 AM | Valid: Time Spent: 3.434484s
07/09 12:30:15 AM | 

07/09 12:30:15 AM | [0.4232861806311207, 0.44004400440044, 0.46215596330275227]
07/09 12:30:15 AM | Model size = 1.616 MB
07/09 12:30:15 AM | Epoch 0 LR 0.037500000000000006
07/09 12:30:16 AM | Train: [  1/600] Step 000/071 Loss: 0.921 Recall: 0.480 FA: 19 F1: 0.598361
07/09 12:30:16 AM | [85 19 79 73]
07/09 12:30:39 AM | Train: [  1/600] Step 050/071 Loss: 0.505 Recall: 0.926 FA: 26 F1: 0.864865
07/09 12:30:39 AM | [109  26   9 112]
07/09 12:30:48 AM | Train: [  1/600] Step 071/071 Loss: 0.476 Recall: 0.885 FA: 1 F1: 0.920000
07/09 12:30:48 AM | [22  1  3 23]
07/09 12:30:48 AM | Train: [  1/600] Final Recall 86.0254% FA 1445 F1: 85.2418%
07/09 12:30:48 AM | [7642 1445 1277 7861]
07/09 12:30:48 AM | Valid: [  1/600] Step 000/061 Loss: 0.281 Recall: 0.941 FA: 31 F1: 0.500000
07/09 12:30:48 AM | [208  31   1  16]
07/09 12:30:53 AM | Valid: [  1/600] Final Recall 83.3333% FA 1125 F1: 39.6189%
07/09 12:30:53 AM | [5831 1125   79  395]
07/09 12:30:53 AM | Valid: Time Spent: 5.054757s
07/09 12:30:53 AM | 

07/09 12:30:53 AM | Epoch 1 LR 0.012500000000000006
07/09 12:30:54 AM | Train: [  2/600] Step 000/071 Loss: 0.396 Recall: 0.943 FA: 22 F1: 0.888031
07/09 12:30:54 AM | [112  22   7 115]
07/09 12:31:17 AM | Train: [  2/600] Step 050/071 Loss: 0.330 Recall: 0.959 FA: 17 F1: 0.913386
07/09 12:31:17 AM | [118  17   5 116]
07/09 12:31:27 AM | Train: [  2/600] Step 071/071 Loss: 0.321 Recall: 0.812 FA: 0 F1: 0.896552
07/09 12:31:27 AM | [17  0  6 26]
07/09 12:31:27 AM | Train: [  2/600] Final Recall 92.3178% FA 938 F1: 91.1277%
07/09 12:31:27 AM | [8175  938  700 8412]
07/09 12:31:27 AM | Valid: [  2/600] Step 000/061 Loss: 0.510 Recall: 0.857 FA: 35 F1: 0.393443
07/09 12:31:27 AM | [207  35   2  12]
07/09 12:31:32 AM | Valid: [  2/600] Final Recall 85.7434% FA 997 F1: 44.1069%
07/09 12:31:32 AM | [6192  997   70  421]
07/09 12:31:32 AM | Valid: Time Spent: 4.604493s
07/09 12:31:32 AM | 

07/09 12:31:32 AM | Epoch 2 LR 0.0
07/09 12:31:33 AM | Train: [  3/600] Step 000/071 Loss: 0.399 Recall: 0.910 FA: 10 F1: 0.919298
07/09 12:31:33 AM | [102  10  13 131]
07/09 12:31:56 AM | Train: [  3/600] Step 050/071 Loss: 0.280 Recall: 0.950 FA: 15 F1: 0.915663
07/09 12:31:56 AM | [121  15   6 114]
07/09 12:32:05 AM | Train: [  3/600] Step 071/071 Loss: 0.289 Recall: 1.000 FA: 7 F1: 0.820513
07/09 12:32:05 AM | [26  7  0 16]
07/09 12:32:05 AM | Train: [  3/600] Final Recall 93.8083% FA 790 F1: 92.6589%
07/09 12:32:05 AM | [8326  790  564 8545]
07/09 12:32:06 AM | Valid: [  3/600] Step 000/061 Loss: 0.653 Recall: 0.833 FA: 44 F1: 0.389610
07/09 12:32:06 AM | [194  44   3  15]
07/09 12:32:10 AM | Valid: [  3/600] Final Recall 84.9372% FA 1037 F1: 42.2697%
07/09 12:32:10 AM | [5915 1037   72  406]
07/09 12:32:10 AM | Valid: Time Spent: 5.075492s
07/09 12:32:10 AM | 

07/09 12:32:10 AM | [0.3961885656970913, 0.44106862231534827, 0.42269651223321186]
