07/10 01:03:24 PM | 
07/10 01:08:33 PM | Train: [  1/600] Step 050/071 Loss: 0.524 Recall: 0.911 FA: 18 F1: 0.886275
07/10 01:08:33 PM | [114  18  11 113]
07/10 01:08:40 PM | Train: [  1/600] Step 071/071 Loss: 0.487 Recall: 1.000 FA: 5 F1: 0.893617
07/10 01:08:40 PM | [23  5  0 21]
07/10 01:08:41 PM | Train: [  1/600] Final Recall 85.4923% FA 1495 F1: 84.7092%
07/10 01:08:41 PM | [7590 1495 1326 7814]
07/10 01:08:41 PM | Valid: [  1/600] Step 000/061 Loss: 0.866 Recall: 0.750 FA: 23 F1: 0.517241
07/10 01:08:41 PM | [213  23   5  15]
07/10 01:08:46 PM | Valid: [  1/600] Final Recall 74.1935% FA 953 F1: 40.5063%
07/10 01:08:46 PM | [6231  953  128  368]
07/10 01:08:46 PM | Valid: Time Spent: 5.137609s
07/10 01:08:46 PM | [0.4050632911392405]
07/10 01:08:48 PM | Model size = 1.544 MB
07/10 01:08:48 PM | Epoch 0 LR 0.05
07/10 01:08:50 PM | Train: [  1/600] Step 000/071 Loss: 0.982 Recall: 0.566 FA: 54 F1: 0.563265
07/10 01:08:50 PM | [80 54 53 69]
07/10 01:09:12 PM | Train: [  1/600] Step 050/071 Loss: 0.551 Recall: 0.876 FA: 20 F1: 0.858300
07/10 01:09:12 PM | [115  20  15 106]
07/10 01:09:23 PM | Train: [  1/600] Step 071/071 Loss: 0.509 Recall: 0.840 FA: 3 F1: 0.857143
07/10 01:09:23 PM | [21  3  4 21]
07/10 01:09:23 PM | Train: [  1/600] Final Recall 85.2161% FA 1585 F1: 84.1014%
07/10 01:09:23 PM | [7549 1585 1344 7747]
07/10 01:09:23 PM | Valid: [  1/600] Step 000/061 Loss: 0.353 Recall: 0.348 FA: 26 F1: 0.280702
07/10 01:09:23 PM | [207  26  15   8]
07/10 01:09:31 PM | Valid: [  1/600] Final Recall 53.6437% FA 561 F1: 40.1515%
07/10 01:09:31 PM | [6375  561  229  265]
07/10 01:09:31 PM | Valid: Time Spent: 7.975798s
07/10 01:09:31 PM | [0.40151515151515155]
07/10 01:09:35 PM | Model size = 1.549 MB
07/10 01:09:35 PM | Epoch 0 LR 0.05
07/10 01:09:37 PM | Train: [  1/600] Step 000/071 Loss: 0.978 Recall: 0.622 FA: 80 F1: 0.552448
07/10 01:09:37 PM | [49 80 48 79]
07/10 01:09:59 PM | Train: [  1/600] Step 050/071 Loss: 0.526 Recall: 0.904 FA: 17 F1: 0.886275
07/10 01:09:59 PM | [114  17  12 113]
07/10 01:10:08 PM | Train: [  1/600] Step 071/071 Loss: 0.500 Recall: 0.793 FA: 2 F1: 0.851852
07/10 01:10:08 PM | [18  2  6 23]
07/10 01:10:08 PM | Train: [  1/600] Final Recall 85.8791% FA 1598 F1: 84.4272%
07/10 01:10:08 PM | [7527 1598 1285 7815]
07/10 01:10:08 PM | Valid: [  1/600] Step 000/061 Loss: 0.642 Recall: 0.938 FA: 78 F1: 0.275229
07/10 01:10:08 PM | [162  78   1  15]
07/10 01:10:13 PM | Valid: [  1/600] Final Recall 88.6214% FA 2637 F1: 23.1495%
07/10 01:10:13 PM | [4586 2637   52  405]
07/10 01:10:13 PM | Valid: Time Spent: 4.604883s
07/10 01:10:13 PM | [0.23149471277507863]
07/10 01:10:15 PM | Model size = 1.375 MB
07/10 01:10:15 PM | Epoch 0 LR 0.05
07/10 01:10:16 PM | Train: [  1/600] Step 000/071 Loss: 0.963 Recall: 0.617 FA: 29 F1: 0.677043
07/10 01:10:16 PM | [86 29 54 87]
07/10 01:10:29 PM | Train: [  1/600] Step 050/071 Loss: 0.656 Recall: 0.969 FA: 38 F1: 0.858108
07/10 01:10:29 PM | [ 87  38   4 127]
07/10 01:10:35 PM | Train: [  1/600] Step 071/071 Loss: 0.626 Recall: 0.909 FA: 2 F1: 0.909091
07/10 01:10:35 PM | [25  2  2 20]
07/10 01:10:35 PM | Train: [  1/600] Final Recall 83.7932% FA 1705 F1: 82.8043%
07/10 01:10:35 PM | [7351 1705 1486 7683]
07/10 01:10:35 PM | Valid: [  1/600] Step 000/061 Loss: 0.480 Recall: 0.810 FA: 51 F1: 0.382022
07/10 01:10:35 PM | [184  51   4  17]
07/10 01:10:41 PM | Valid: [  1/600] Final Recall 87.3706% FA 1720 F1: 32.1524%
07/10 01:10:41 PM | [5227 1720   61  422]
07/10 01:10:41 PM | Valid: Time Spent: 5.776268s
07/10 01:10:41 PM | [0.32152380952380955]
07/10 01:10:52 PM | Model size = 1.414 MB
07/10 01:10:52 PM | Epoch 0 LR 0.05
07/10 01:10:53 PM | Train: [  1/600] Step 000/071 Loss: 1.008 Recall: 0.684 FA: 55 F1: 0.631579
07/10 01:10:53 PM | [87 55 36 78]
07/10 01:11:14 PM | Train: [  1/600] Step 050/071 Loss: 0.540 Recall: 0.882 FA: 18 F1: 0.867769
07/10 01:11:14 PM | [119  18  14 105]
07/10 01:11:22 PM | Train: [  1/600] Step 071/071 Loss: 0.501 Recall: 0.958 FA: 5 F1: 0.884615
07/10 01:11:22 PM | [20  5  1 23]
07/10 01:11:22 PM | Train: [  1/600] Final Recall 86.2519% FA 1542 F1: 84.9058%
07/10 01:11:22 PM | [7569 1542 1253 7861]
07/10 01:11:23 PM | Valid: [  1/600] Step 000/061 Loss: 0.828 Recall: 0.818 FA: 79 F1: 0.181818
07/10 01:11:23 PM | [166  79   2   9]
07/10 01:11:28 PM | Valid: [  1/600] Final Recall 89.3069% FA 2203 F1: 28.5533%
07/10 01:11:28 PM | [4972 2203   54  451]
07/10 01:11:28 PM | Valid: Time Spent: 5.481820s
07/10 01:11:28 PM | [0.2855333966445078]
07/10 01:11:34 PM | Model size = 1.517 MB
07/10 01:11:34 PM | Epoch 0 LR 0.05
07/10 01:11:36 PM | Train: [  1/600] Step 000/071 Loss: 1.011 Recall: 0.414 FA: 58 F1: 0.432432
07/10 01:11:36 PM | [82 58 68 48]
07/10 01:11:58 PM | Train: [  1/600] Step 050/071 Loss: 0.563 Recall: 0.944 FA: 27 F1: 0.873134
07/10 01:11:58 PM | [105  27   7 117]
07/10 01:12:07 PM | Train: [  1/600] Step 071/071 Loss: 0.518 Recall: 0.917 FA: 7 F1: 0.830189
07/10 01:12:07 PM | [18  7  2 22]
07/10 01:12:07 PM | Train: [  1/600] Final Recall 85.4760% FA 1678 F1: 83.7962%
07/10 01:12:07 PM | [7493 1678 1315 7739]
07/10 01:12:07 PM | Valid: [  1/600] Step 000/061 Loss: 0.539 Recall: 0.818 FA: 55 F1: 0.240000
07/10 01:12:07 PM | [190  55   2   9]
07/10 01:12:13 PM | Valid: [  1/600] Final Recall 81.5846% FA 1469 F1: 32.8874%
07/10 01:12:13 PM | [5494 1469   86  381]
07/10 01:12:13 PM | Valid: Time Spent: 5.478785s
07/10 01:12:13 PM | [0.3288735433750539]
07/10 01:12:19 PM | Model size = 1.389 MB
07/10 01:12:19 PM | Epoch 0 LR 0.05
07/10 01:12:21 PM | Train: [  1/600] Step 000/071 Loss: 0.971 Recall: 0.527 FA: 42 F1: 0.569038
07/10 01:12:21 PM | [85 42 61 68]
07/10 01:12:39 PM | Train: [  1/600] Step 050/071 Loss: 0.509 Recall: 0.931 FA: 18 F1: 0.900369
07/10 01:12:39 PM | [107  18   9 122]
07/10 01:12:47 PM | Train: [  1/600] Step 071/071 Loss: 0.476 Recall: 0.893 FA: 2 F1: 0.909091
07/10 01:12:47 PM | [19  2  3 25]
07/10 01:12:47 PM | Train: [  1/600] Final Recall 85.8526% FA 1510 F1: 84.8077%
07/10 01:12:47 PM | [7625 1510 1286 7804]
07/10 01:12:48 PM | Valid: [  1/600] Step 000/061 Loss: 2.359 Recall: 1.000 FA: 131 F1: 0.206061
07/10 01:12:48 PM | [108 131   0  17]
07/10 01:12:52 PM | Valid: [  1/600] Final Recall 98.9817% FA 3610 F1: 21.1903%
07/10 01:12:52 PM | [3579 3610    5  486]
07/10 01:12:52 PM | Valid: Time Spent: 4.526560s
07/10 01:12:52 PM | [0.2119032047089601]
07/10 01:13:02 PM | Model size = 1.521 MB
07/10 01:13:02 PM | Epoch 0 LR 0.05
07/10 01:13:04 PM | Train: [  1/600] Step 000/071 Loss: 0.970 Recall: 0.576 FA: 42 F1: 0.613027
07/10 01:13:04 PM | [75 42 59 80]
07/10 01:13:27 PM | Train: [  1/600] Step 050/071 Loss: 0.539 Recall: 0.813 FA: 18 F1: 0.837037
07/10 01:13:27 PM | [ 99  18  26 113]
07/10 01:13:36 PM | Train: [  1/600] Step 071/071 Loss: 0.500 Recall: 0.897 FA: 2 F1: 0.912281
07/10 01:13:36 PM | [18  2  3 26]
07/10 01:13:37 PM | Train: [  1/600] Final Recall 86.0381% FA 1483 F1: 85.0370%
07/10 01:13:37 PM | [7653 1483 1269 7820]
07/10 01:13:37 PM | Valid: [  1/600] Step 000/061 Loss: 0.200 Recall: 0.455 FA: 10 F1: 0.476190
07/10 01:13:37 PM | [224  10  12  10]
07/10 01:13:43 PM | Valid: [  1/600] Final Recall 45.2539% FA 344 F1: 40.9182%
07/10 01:13:43 PM | [6633  344  248  205]
07/10 01:13:43 PM | Valid: Time Spent: 6.112747s
07/10 01:13:43 PM | [0.4091816367265469]
07/10 01:13:51 PM | Model size = 1.491 MB
07/10 01:13:51 PM | Epoch 0 LR 0.05
07/10 01:13:52 PM | Train: [  1/600] Step 000/071 Loss: 1.036 Recall: 0.541 FA: 87 F1: 0.493151
07/10 01:13:52 PM | [36 87 61 72]
07/10 01:14:14 PM | Train: [  1/600] Step 050/071 Loss: 0.539 Recall: 0.809 FA: 12 F1: 0.852713
07/10 01:14:14 PM | [108  12  26 110]
07/10 01:14:24 PM | Train: [  1/600] Step 071/071 Loss: 0.491 Recall: 0.957 FA: 5 F1: 0.880000
07/10 01:14:24 PM | [21  5  1 22]
07/10 01:14:24 PM | Train: [  1/600] Final Recall 85.8260% FA 1552 F1: 84.5916%
07/10 01:14:24 PM | [7593 1552 1287 7793]
07/10 01:14:24 PM | Valid: [  1/600] Step 000/061 Loss: 0.218 Recall: 0.692 FA: 19 F1: 0.439024
07/10 01:14:24 PM | [224  19   4   9]
07/10 01:14:29 PM | Valid: [  1/600] Final Recall 49.4071% FA 509 F1: 39.5257%
07/10 01:14:29 PM | [6665  509  256  250]
07/10 01:14:29 PM | Valid: Time Spent: 4.552001s
07/10 01:14:29 PM | [0.3952569169960474]
07/10 01:14:35 PM | Model size = 1.247 MB
07/10 01:14:35 PM | Epoch 0 LR 0.05
07/10 01:14:36 PM | Train: [  1/600] Step 000/071 Loss: 1.011 Recall: 0.465 FA: 78 F1: 0.446970
07/10 01:14:36 PM | [51 78 68 59]
07/10 01:14:51 PM | Train: [  1/600] Step 050/071 Loss: 0.549 Recall: 0.967 FA: 33 F1: 0.863469
07/10 01:14:51 PM | [102  33   4 117]
07/10 01:14:57 PM | Train: [  1/600] Step 071/071 Loss: 0.504 Recall: 1.000 FA: 5 F1: 0.897959
07/10 01:14:57 PM | [22  5  0 22]
07/10 01:14:57 PM | Train: [  1/600] Final Recall 84.8678% FA 1545 F1: 84.1018%
07/10 01:14:57 PM | [7567 1545 1379 7734]
07/10 01:14:57 PM | Valid: [  1/600] Step 000/061 Loss: 0.421 Recall: 0.818 FA: 36 F1: 0.473684
07/10 01:14:57 PM | [198  36   4  18]
07/10 01:15:02 PM | Valid: [  1/600] Final Recall 77.2549% FA 1388 F1: 34.3805%
07/10 01:15:02 PM | [5532 1388  116  394]
07/10 01:15:02 PM | Valid: Time Spent: 5.511097s
07/10 01:15:02 PM | [0.343804537521815]
07/10 01:15:09 PM | Model size = 1.480 MB
07/10 01:15:09 PM | Epoch 0 LR 0.05
07/10 01:15:10 PM | Train: [  1/600] Step 000/071 Loss: 0.978 Recall: 0.585 FA: 67 F1: 0.549618
07/10 01:15:10 PM | [66 67 51 72]
07/10 01:15:33 PM | Train: [  1/600] Step 050/071 Loss: 0.528 Recall: 0.908 FA: 17 F1: 0.886179
07/10 01:15:33 PM | [119  17  11 109]
07/10 01:15:41 PM | Train: [  1/600] Step 071/071 Loss: 0.499 Recall: 1.000 FA: 6 F1: 0.842105
07/10 01:15:41 PM | [27  6  0 16]
07/10 01:15:41 PM | Train: [  1/600] Final Recall 86.6000% FA 1556 F1: 84.9482%
07/10 01:15:41 PM | [7669 1556 1206 7794]
07/10 01:15:41 PM | Valid: [  1/600] Step 000/061 Loss: 0.844 Recall: 0.800 FA: 81 F1: 0.222222
07/10 01:15:41 PM | [160  81   3  12]
07/10 01:15:46 PM | Valid: [  1/600] Final Recall 84.5339% FA 2360 F1: 24.6982%
07/10 01:15:46 PM | [4848 2360   73  399]
07/10 01:15:46 PM | Valid: Time Spent: 4.684880s
07/10 01:15:46 PM | [0.2469823584029712]
07/10 01:15:52 PM | Model size = 1.647 MB
07/10 01:15:52 PM | Epoch 0 LR 0.05
07/10 01:15:54 PM | Train: [  1/600] Step 000/071 Loss: 0.949 Recall: 0.549 FA: 45 F1: 0.581673
07/10 01:15:54 PM | [78 45 60 73]
07/10 01:16:16 PM | Train: [  1/600] Step 050/071 Loss: 0.546 Recall: 0.782 FA: 6 F1: 0.855967
07/10 01:16:16 PM | [117   6  29 104]
07/10 01:16:26 PM | Train: [  1/600] Step 071/071 Loss: 0.519 Recall: 0.957 FA: 6 F1: 0.862745
07/10 01:16:26 PM | [20  6  1 22]
07/10 01:16:27 PM | Train: [  1/600] Final Recall 85.5187% FA 1597 F1: 84.1327%
07/10 01:16:27 PM | [7644 1597 1301 7683]
07/10 01:16:27 PM | Valid: [  1/600] Step 000/061 Loss: 0.278 Recall: 0.077 FA: 14 F1: 0.071429
07/10 01:16:27 PM | [229  14  12   1]
07/10 01:16:33 PM | Valid: [  1/600] Final Recall 17.4180% FA 198 F1: 22.0493%
07/10 01:16:33 PM | [6744  198  403   85]
07/10 01:16:33 PM | Valid: Time Spent: 6.580977s
07/10 01:16:33 PM | [0.22049286640726332]
07/10 01:16:44 PM | Model size = 1.508 MB
07/10 01:16:44 PM | Epoch 0 LR 0.05
07/10 01:16:46 PM | Train: [  1/600] Step 000/071 Loss: 1.052 Recall: 0.561 FA: 89 F1: 0.501695
07/10 01:16:46 PM | [35 89 58 74]
07/10 01:17:09 PM | Train: [  1/600] Step 050/071 Loss: 0.564 Recall: 0.890 FA: 18 F1: 0.875969
07/10 01:17:09 PM | [111  18  14 113]
07/10 01:17:17 PM | Train: [  1/600] Step 071/071 Loss: 0.521 Recall: 0.714 FA: 2 F1: 0.789474
07/10 01:17:17 PM | [26  2  6 15]
07/10 01:17:17 PM | Train: [  1/600] Final Recall 85.1036% FA 1640 F1: 83.8128%
07/10 01:17:17 PM | [7462 1640 1359 7764]
07/10 01:17:17 PM | Valid: [  1/600] Step 000/061 Loss: 1.107 Recall: 1.000 FA: 132 F1: 0.258427
07/10 01:17:17 PM | [101 132   0  23]
07/10 01:17:21 PM | Valid: [  1/600] Final Recall 99.2141% FA 3822 F1: 20.8850%
07/10 01:17:21 PM | [3349 3822    4  505]
07/10 01:17:21 PM | Valid: Time Spent: 4.213339s
07/10 01:17:21 PM | [0.20885028949545079]
07/10 01:17:27 PM | Model size = 1.395 MB
07/10 01:17:27 PM | Epoch 0 LR 0.05
07/10 01:17:29 PM | Train: [  1/600] Step 000/071 Loss: 1.074 Recall: 0.443 FA: 99 F1: 0.392727
07/10 01:17:29 PM | [35 99 68 54]
07/10 01:17:48 PM | Train: [  1/600] Step 050/071 Loss: 0.574 Recall: 0.767 FA: 11 F1: 0.828452
07/10 01:17:48 PM | [116  11  30  99]
07/10 01:17:56 PM | Train: [  1/600] Step 071/071 Loss: 0.522 Recall: 0.913 FA: 3 F1: 0.893617
07/10 01:17:56 PM | [23  3  2 21]
07/10 01:17:56 PM | Train: [  1/600] Final Recall 84.5281% FA 1570 F1: 83.8329%
07/10 01:17:56 PM | [7490 1570 1418 7747]
07/10 01:17:56 PM | Valid: [  1/600] Step 000/061 Loss: 0.305 Recall: 0.308 FA: 7 F1: 0.333333
07/10 01:17:56 PM | [236   7   9   4]
07/10 01:18:01 PM | Valid: [  1/600] Final Recall 14.3177% FA 126 F1: 20.0942%
07/10 01:18:01 PM | [6857  126  383   64]
07/10 01:18:01 PM | Valid: Time Spent: 5.155506s
07/10 01:18:01 PM | [0.2009419152276295]
07/10 01:18:08 PM | Model size = 1.407 MB
07/10 01:18:08 PM | Epoch 0 LR 0.05
07/10 01:18:09 PM | Train: [  1/600] Step 000/071 Loss: 0.962 Recall: 0.469 FA: 55 F1: 0.495935
07/10 01:18:09 PM | [71 55 69 61]
07/10 01:18:28 PM | Train: [  1/600] Step 050/071 Loss: 0.519 Recall: 0.857 FA: 11 F1: 0.879310
07/10 01:18:28 PM | [126  11  17 102]
07/10 01:18:36 PM | Train: [  1/600] Step 071/071 Loss: 0.471 Recall: 0.913 FA: 2 F1: 0.913043
07/10 01:18:36 PM | [24  2  2 21]
07/10 01:18:36 PM | Train: [  1/600] Final Recall 86.7446% FA 1357 F1: 86.0095%
07/10 01:18:36 PM | [7800 1357 1202 7866]
07/10 01:18:36 PM | Valid: [  1/600] Step 000/061 Loss: 0.464 Recall: 0.850 FA: 37 F1: 0.459459
07/10 01:18:36 PM | [199  37   3  17]
07/10 01:18:40 PM | Valid: [  1/600] Final Recall 82.7586% FA 987 F1: 43.2203%
07/10 01:18:40 PM | [6200  987   85  408]
07/10 01:18:40 PM | Valid: Time Spent: 4.477634s
07/10 01:18:40 PM | [0.43220338983050854]
07/10 01:18:47 PM | Model size = 1.306 MB
07/10 01:18:47 PM | Epoch 0 LR 0.05
07/10 01:18:48 PM | Train: [  1/600] Step 000/071 Loss: 0.987 Recall: 0.570 FA: 67 F1: 0.536965
07/10 01:18:48 PM | [68 67 52 69]
07/10 01:19:06 PM | Train: [  1/600] Step 050/071 Loss: 0.611 Recall: 0.902 FA: 25 F1: 0.863309
07/10 01:19:06 PM | [ 98  25  13 120]
07/10 01:19:14 PM | Train: [  1/600] Step 071/071 Loss: 0.567 Recall: 1.000 FA: 5 F1: 0.909091
07/10 01:19:14 PM | [19  5  0 25]
07/10 01:19:14 PM | Train: [  1/600] Final Recall 83.6488% FA 1631 F1: 82.9867%
07/10 01:19:14 PM | [7506 1631 1486 7602]
07/10 01:19:15 PM | Valid: [  1/600] Step 000/061 Loss: 0.269 Recall: 0.615 FA: 19 F1: 0.400000
07/10 01:19:15 PM | [224  19   5   8]
07/10 01:19:21 PM | Valid: [  1/600] Final Recall 47.2917% FA 408 F1: 40.7175%
07/10 01:19:21 PM | [6542  408  253  227]
07/10 01:19:21 PM | Valid: Time Spent: 6.297559s
07/10 01:19:21 PM | [0.40717488789237666]
07/10 01:19:27 PM | Model size = 1.448 MB
07/10 01:19:27 PM | Epoch 0 LR 0.05
07/10 01:19:29 PM | Train: [  1/600] Step 000/071 Loss: 0.915 Recall: 0.639 FA: 47 F1: 0.631579
07/10 01:19:29 PM | [87 47 44 78]
07/10 01:19:50 PM | Train: [  1/600] Step 050/071 Loss: 0.599 Recall: 0.794 FA: 15 F1: 0.833977
07/10 01:19:50 PM | [105  15  28 108]
07/10 01:19:58 PM | Train: [  1/600] Step 071/071 Loss: 0.557 Recall: 0.840 FA: 6 F1: 0.807692
07/10 01:19:58 PM | [18  6  4 21]
07/10 01:19:58 PM | Train: [  1/600] Final Recall 84.8609% FA 1567 F1: 83.9524%
07/10 01:19:58 PM | [7602 1567 1371 7685]
07/10 01:19:58 PM | Valid: [  1/600] Step 000/061 Loss: 0.376 Recall: 0.609 FA: 32 F1: 0.405797
07/10 01:19:58 PM | [201  32   9  14]
07/10 01:20:03 PM | Valid: [  1/600] Final Recall 75.2599% FA 1060 F1: 38.0452%
07/10 01:20:03 PM | [6139 1060  119  362]
07/10 01:20:03 PM | Valid: Time Spent: 4.705913s
07/10 01:20:03 PM | [0.3804519180241724]
