07/10 04:41:36 AM | 
07/10 04:43:38 AM | Valid: [  1/600] Step 000/061 Loss: 0.259 Recall: 0.400 FA: 24 F1: 0.210526
07/10 04:43:38 AM | [222  24   6   4]
07/10 04:43:43 AM | Valid: [  1/600] Final Recall 58.7426% FA 719 F1: 39.1618%
07/10 04:43:43 AM | [6452  719  210  299]
07/10 04:43:43 AM | Valid: Time Spent: 4.809649s
07/10 04:43:43 AM | [0.3916175507531107]
07/10 04:43:44 AM | Model size = 1.500 MB
07/10 04:43:44 AM | Epoch 0 LR 0.05
07/10 04:43:48 AM | Train: [  1/600] Step 000/071 Loss: 1.230 Recall: 0.376 FA: 96 F1: 0.350746
07/10 04:43:48 AM | [35 96 78 47]
07/10 04:44:10 AM | Train: [  1/600] Step 050/071 Loss: 0.552 Recall: 0.961 FA: 23 F1: 0.897059
07/10 04:44:10 AM | [106  23   5 122]
07/10 04:44:20 AM | Train: [  1/600] Step 071/071 Loss: 0.512 Recall: 0.880 FA: 1 F1: 0.916667
07/10 04:44:20 AM | [23  1  3 22]
07/10 04:44:20 AM | Train: [  1/600] Final Recall 85.1166% FA 1507 F1: 84.4678%
07/10 04:44:20 AM | [7540 1507 1366 7812]
07/10 04:44:20 AM | Valid: [  1/600] Step 000/061 Loss: 0.537 Recall: 0.667 FA: 32 F1: 0.307692
07/10 04:44:20 AM | [212  32   4   8]
07/10 04:44:26 AM | Valid: [  1/600] Final Recall 73.7179% FA 1094 F1: 36.1825%
07/10 04:44:26 AM | [5868 1094  123  345]
07/10 04:44:26 AM | Valid: Time Spent: 5.619858s
07/10 04:44:26 AM | [0.36182485579444157]
07/10 04:44:28 AM | Model size = 1.565 MB
07/10 04:44:28 AM | Epoch 0 LR 0.05
07/10 04:44:29 AM | Train: [  1/600] Step 000/071 Loss: 0.991 Recall: 0.525 FA: 32 F1: 0.586047
07/10 04:44:29 AM | [104  32  57  63]
07/10 04:44:53 AM | Train: [  1/600] Step 050/071 Loss: 0.566 Recall: 0.917 FA: 16 F1: 0.895161
07/10 04:44:53 AM | [119  16  10 111]
07/10 04:45:03 AM | Train: [  1/600] Step 071/071 Loss: 0.531 Recall: 0.875 FA: 2 F1: 0.893617
07/10 04:45:03 AM | [23  2  3 21]
07/10 04:45:03 AM | Train: [  1/600] Final Recall 84.3918% FA 1472 F1: 84.0347%
07/10 04:45:03 AM | [7809 1472 1396 7548]
07/10 04:45:03 AM | Valid: [  1/600] Step 000/061 Loss: 0.290 Recall: 0.000 FA: 1 F1: 0.000000
07/10 04:45:03 AM | [233   1  22   0]
07/10 04:45:08 AM | Valid: [  1/600] Final Recall 2.4691% FA 6 F1: 4.7619%
07/10 04:45:08 AM | [7188    6  474   12]
07/10 04:45:08 AM | Valid: Time Spent: 5.184178s
07/10 04:45:08 AM | [0.047619047619047616]
07/10 04:45:10 AM | Model size = 1.588 MB
07/10 04:45:10 AM | Epoch 0 LR 0.05
07/10 04:45:11 AM | Train: [  1/600] Step 000/071 Loss: 1.034 Recall: 0.453 FA: 29 F1: 0.545455
07/10 04:45:11 AM | [88 29 76 63]
07/10 04:45:32 AM | Train: [  1/600] Step 050/071 Loss: 0.553 Recall: 0.878 FA: 14 F1: 0.892508
07/10 04:45:32 AM | [ 86  14  19 137]
07/10 04:45:40 AM | Train: [  1/600] Step 071/071 Loss: 0.523 Recall: 0.929 FA: 2 F1: 0.928571
07/10 04:45:40 AM | [19  2  2 26]
07/10 04:45:41 AM | Train: [  1/600] Final Recall 85.1447% FA 1732 F1: 83.3631%
07/10 04:45:41 AM | [7439 1732 1345 7709]
07/10 04:45:41 AM | Valid: [  1/600] Step 000/061 Loss: 0.385 Recall: 0.300 FA: 18 F1: 0.272727
07/10 04:45:41 AM | [218  18  14   6]
07/10 04:45:46 AM | Valid: [  1/600] Final Recall 49.4908% FA 429 F1: 41.7885%
07/10 04:45:46 AM | [6510  429  248  243]
07/10 04:45:46 AM | Valid: Time Spent: 5.481194s
07/10 04:45:46 AM | [0.4178847807394669]
07/10 04:45:48 AM | Model size = 1.195 MB
07/10 04:45:48 AM | Epoch 0 LR 0.05
07/10 04:45:49 AM | Train: [  1/600] Step 000/071 Loss: 1.197 Recall: 0.350 FA: 95 F1: 0.326848
07/10 04:45:49 AM | [41 95 78 42]
07/10 04:46:05 AM | Train: [  1/600] Step 050/071 Loss: 0.641 Recall: 0.920 FA: 16 F1: 0.898438
07/10 04:46:05 AM | [115  16  10 115]
07/10 04:46:11 AM | Train: [  1/600] Step 071/071 Loss: 0.576 Recall: 0.852 FA: 1 F1: 0.901961
07/10 04:46:11 AM | [21  1  4 23]
07/10 04:46:11 AM | Train: [  1/600] Final Recall 83.5662% FA 1642 F1: 82.7705%
07/10 04:46:11 AM | [7638 1642 1470 7475]
07/10 04:46:11 AM | Valid: [  1/600] Step 000/061 Loss: 0.534 Recall: 1.000 FA: 38 F1: 0.547619
07/10 04:46:11 AM | [195  38   0  23]
07/10 04:46:16 AM | Valid: [  1/600] Final Recall 95.5556% FA 1509 F1: 38.1914%
07/10 04:46:16 AM | [5676 1509   22  473]
07/10 04:46:16 AM | Valid: Time Spent: 4.491070s
07/10 04:46:16 AM | [0.38191360516754136]
07/10 04:46:17 AM | Model size = 1.327 MB
07/10 04:46:17 AM | Epoch 0 LR 0.05
07/10 04:46:19 AM | Train: [  1/600] Step 000/071 Loss: 1.067 Recall: 0.496 FA: 67 F1: 0.500000
07/10 04:46:19 AM | [52 67 69 68]
07/10 04:46:36 AM | Train: [  1/600] Step 050/071 Loss: 0.642 Recall: 0.882 FA: 13 F1: 0.888889
07/10 04:46:36 AM | [116  13  15 112]
07/10 04:46:43 AM | Train: [  1/600] Step 071/071 Loss: 0.576 Recall: 0.815 FA: 3 F1: 0.846154
07/10 04:46:43 AM | [19  3  5 22]
07/10 04:46:43 AM | Train: [  1/600] Final Recall 84.2818% FA 1809 F1: 82.4883%
07/10 04:46:43 AM | [7401 1809 1417 7598]
07/10 04:46:43 AM | Valid: [  1/600] Step 000/061 Loss: 0.376 Recall: 1.000 FA: 31 F1: 0.474576
07/10 04:46:43 AM | [211  31   0  14]
07/10 04:46:49 AM | Valid: [  1/600] Final Recall 84.1304% FA 1082 F1: 40.1244%
07/10 04:46:49 AM | [5888 1082   73  387]
07/10 04:46:49 AM | Valid: Time Spent: 5.368485s
07/10 04:46:49 AM | [0.4012441679626749]
07/10 04:46:52 AM | Model size = 1.406 MB
07/10 04:46:52 AM | Epoch 0 LR 0.05
07/10 04:46:53 AM | Train: [  1/600] Step 000/071 Loss: 1.096 Recall: 0.290 FA: 42 F1: 0.363636
07/10 04:46:53 AM | [76 42 98 40]
07/10 04:47:14 AM | Train: [  1/600] Step 050/071 Loss: 0.591 Recall: 0.882 FA: 26 F1: 0.845283
07/10 04:47:14 AM | [103  26  15 112]
07/10 04:47:23 AM | Train: [  1/600] Step 071/071 Loss: 0.538 Recall: 0.905 FA: 2 F1: 0.904762
07/10 04:47:23 AM | [26  2  2 19]
07/10 04:47:23 AM | Train: [  1/600] Final Recall 84.3664% FA 1731 F1: 82.9737%
07/10 04:47:23 AM | [7379 1731 1425 7690]
07/10 04:47:23 AM | Valid: [  1/600] Step 000/061 Loss: 1.095 Recall: 0.722 FA: 73 F1: 0.250000
07/10 04:47:23 AM | [165  73   5  13]
07/10 04:47:27 AM | Valid: [  1/600] Final Recall 69.4444% FA 1814 F1: 26.2369%
07/10 04:47:27 AM | [5362 1814  154  350]
07/10 04:47:27 AM | Valid: Time Spent: 4.165248s
07/10 04:47:27 AM | [0.2623688155922039]
07/10 04:47:29 AM | Model size = 1.271 MB
07/10 04:47:29 AM | Epoch 0 LR 0.05
07/10 04:47:30 AM | Train: [  1/600] Step 000/071 Loss: 1.036 Recall: 0.448 FA: 72 F1: 0.442688
07/10 04:47:30 AM | [59 72 69 56]
07/10 04:47:49 AM | Train: [  1/600] Step 050/071 Loss: 0.604 Recall: 0.879 FA: 17 F1: 0.875472
07/10 04:47:49 AM | [107  17  16 116]
07/10 04:47:57 AM | Train: [  1/600] Step 071/071 Loss: 0.562 Recall: 1.000 FA: 6 F1: 0.892857
07/10 04:47:57 AM | [18  6  0 25]
07/10 04:47:57 AM | Train: [  1/600] Final Recall 84.3199% FA 1588 F1: 83.6905%
07/10 04:47:57 AM | [7396 1588 1449 7792]
07/10 04:47:57 AM | Valid: [  1/600] Step 000/061 Loss: 2.444 Recall: 1.000 FA: 125 F1: 0.137931
07/10 04:47:57 AM | [121 125   0  10]
07/10 04:48:02 AM | Valid: [  1/600] Final Recall 99.7904% FA 3536 F1: 21.2074%
07/10 04:48:02 AM | [3417 3536    1  476]
07/10 04:48:02 AM | Valid: Time Spent: 5.041970s
07/10 04:48:02 AM | [0.21207395856538203]
07/10 04:48:04 AM | Model size = 1.248 MB
07/10 04:48:04 AM | Epoch 0 LR 0.05
07/10 04:48:05 AM | Train: [  1/600] Step 000/071 Loss: 1.061 Recall: 0.680 FA: 85 F1: 0.576271
07/10 04:48:05 AM | [46 85 40 85]
07/10 04:48:23 AM | Train: [  1/600] Step 050/071 Loss: 0.603 Recall: 0.805 FA: 17 F1: 0.830645
07/10 04:48:23 AM | [111  17  25 103]
07/10 04:48:30 AM | Train: [  1/600] Step 071/071 Loss: 0.545 Recall: 0.800 FA: 2 F1: 0.851064
07/10 04:48:30 AM | [22  2  5 20]
07/10 04:48:31 AM | Train: [  1/600] Final Recall 84.2720% FA 1575 F1: 83.5902%
07/10 04:48:31 AM | [7577 1575 1427 7646]
07/10 04:48:31 AM | Valid: [  1/600] Step 000/061 Loss: 0.555 Recall: 0.529 FA: 55 F1: 0.222222
07/10 04:48:31 AM | [184  55   8   9]
07/10 04:48:35 AM | Valid: [  1/600] Final Recall 50.0000% FA 1576 F1: 20.7860%
07/10 04:48:35 AM | [5628 1576  238  238]
07/10 04:48:35 AM | Valid: Time Spent: 3.962705s
07/10 04:48:35 AM | [0.20786026200873362]
07/10 04:48:36 AM | Model size = 1.273 MB
07/10 04:48:36 AM | Epoch 0 LR 0.05
07/10 04:48:38 AM | Train: [  1/600] Step 000/071 Loss: 1.002 Recall: 0.459 FA: 40 F1: 0.513761
07/10 04:48:38 AM | [94 40 66 56]
07/10 04:48:55 AM | Train: [  1/600] Step 050/071 Loss: 0.765 Recall: 0.811 FA: 13 F1: 0.847737
07/10 04:48:55 AM | [116  13  24 103]
07/10 04:49:01 AM | Train: [  1/600] Step 071/071 Loss: 0.662 Recall: 0.852 FA: 5 F1: 0.836364
07/10 04:49:01 AM | [17  5  4 23]
07/10 04:49:01 AM | Train: [  1/600] Final Recall 82.8123% FA 1711 F1: 82.2695%
07/10 04:49:01 AM | [7269 1711 1589 7656]
07/10 04:49:02 AM | Valid: [  1/600] Step 000/061 Loss: 0.565 Recall: 1.000 FA: 66 F1: 0.388889
07/10 04:49:02 AM | [169  66   0  21]
07/10 04:49:06 AM | Valid: [  1/600] Final Recall 93.4292% FA 1825 F1: 32.8876%
07/10 04:49:06 AM | [5118 1825   32  455]
07/10 04:49:06 AM | Valid: Time Spent: 4.601204s
07/10 04:49:06 AM | [0.328876039031442]
07/10 04:49:08 AM | Model size = 1.179 MB
07/10 04:49:08 AM | Epoch 0 LR 0.05
07/10 04:49:09 AM | Train: [  1/600] Step 000/071 Loss: 0.868 Recall: 0.680 FA: 31 F1: 0.707317
07/10 04:49:09 AM | [97 31 41 87]
07/10 04:49:25 AM | Train: [  1/600] Step 050/071 Loss: 0.603 Recall: 0.951 FA: 12 F1: 0.935154
07/10 04:49:25 AM | [100  12   7 137]
07/10 04:49:31 AM | Train: [  1/600] Step 071/071 Loss: 0.540 Recall: 0.920 FA: 4 F1: 0.884615
07/10 04:49:31 AM | [20  4  2 23]
07/10 04:49:31 AM | Train: [  1/600] Final Recall 86.0597% FA 1531 F1: 84.8993%
07/10 04:49:31 AM | [7512 1531 1280 7902]
07/10 04:49:31 AM | Valid: [  1/600] Step 000/061 Loss: 0.788 Recall: 0.882 FA: 45 F1: 0.389610
07/10 04:49:31 AM | [194  45   2  15]
07/10 04:49:35 AM | Valid: [  1/600] Final Recall 85.8566% FA 1339 F1: 37.9401%
07/10 04:49:35 AM | [5839 1339   71  431]
07/10 04:49:35 AM | Valid: Time Spent: 3.576625s
07/10 04:49:35 AM | [0.37940140845070425]
07/10 04:49:37 AM | Model size = 1.533 MB
07/10 04:49:37 AM | Epoch 0 LR 0.05
07/10 04:49:38 AM | Train: [  1/600] Step 000/071 Loss: 1.058 Recall: 0.432 FA: 99 F1: 0.388489
07/10 04:49:38 AM | [32 99 71 54]
07/10 04:49:58 AM | Train: [  1/600] Step 050/071 Loss: 0.571 Recall: 0.881 FA: 10 F1: 0.898785
07/10 04:49:58 AM | [120  10  15 111]
07/10 04:50:06 AM | Train: [  1/600] Step 071/071 Loss: 0.519 Recall: 0.957 FA: 3 F1: 0.916667
07/10 04:50:06 AM | [23  3  1 22]
07/10 04:50:07 AM | Train: [  1/600] Final Recall 84.1386% FA 1635 F1: 83.3009%
07/10 04:50:07 AM | [7442 1635 1451 7697]
07/10 04:50:07 AM | Valid: [  1/600] Step 000/061 Loss: 0.579 Recall: 0.842 FA: 41 F1: 0.421053
07/10 04:50:07 AM | [196  41   3  16]
07/10 04:50:12 AM | Valid: [  1/600] Final Recall 76.0440% FA 1027 F1: 37.8556%
07/10 04:50:12 AM | [5948 1027  109  346]
07/10 04:50:12 AM | Valid: Time Spent: 5.190431s
07/10 04:50:12 AM | [0.3785557986870897]
07/10 04:50:14 AM | Model size = 1.488 MB
07/10 04:50:14 AM | Epoch 0 LR 0.05
07/10 04:50:15 AM | Train: [  1/600] Step 000/071 Loss: 1.136 Recall: 0.282 FA: 46 F1: 0.350877
07/10 04:50:15 AM | [ 68  46 102  40]
07/10 04:50:35 AM | Train: [  1/600] Step 050/071 Loss: 0.568 Recall: 0.913 FA: 30 F1: 0.840000
07/10 04:50:35 AM | [111  30  10 105]
07/10 04:50:44 AM | Train: [  1/600] Step 071/071 Loss: 0.515 Recall: 0.929 FA: 12 F1: 0.666667
07/10 04:50:44 AM | [23 12  1 13]
07/10 04:50:44 AM | Train: [  1/600] Final Recall 85.1218% FA 1572 F1: 84.1249%
07/10 04:50:44 AM | [7539 1572 1356 7758]
07/10 04:50:44 AM | Valid: [  1/600] Step 000/061 Loss: 1.318 Recall: 0.917 FA: 121 F1: 0.152778
07/10 04:50:44 AM | [123 121   1  11]
07/10 04:50:49 AM | Valid: [  1/600] Final Recall 98.0989% FA 3485 F1: 22.7966%
07/10 04:50:49 AM | [3669 3485   10  516]
07/10 04:50:49 AM | Valid: Time Spent: 5.088677s
07/10 04:50:49 AM | [0.22796554009277667]
07/10 04:50:53 AM | Model size = 1.579 MB
07/10 04:50:53 AM | Epoch 0 LR 0.05
07/10 04:50:54 AM | Train: [  1/600] Step 000/071 Loss: 0.939 Recall: 0.504 FA: 31 F1: 0.583333
07/10 04:50:54 AM | [86 31 69 70]
07/10 04:51:15 AM | Train: [  1/600] Step 050/071 Loss: 0.524 Recall: 0.870 FA: 22 F1: 0.853933
07/10 04:51:15 AM | [103  22  17 114]
07/10 04:51:25 AM | Train: [  1/600] Step 071/071 Loss: 0.492 Recall: 0.800 FA: 1 F1: 0.872727
07/10 04:51:25 AM | [18  1  6 24]
07/10 04:51:25 AM | Train: [  1/600] Final Recall 86.2171% FA 1481 F1: 85.1711%
07/10 04:51:25 AM | [7624 1481 1257 7863]
07/10 04:51:25 AM | Valid: [  1/600] Step 000/061 Loss: 0.450 Recall: 0.818 FA: 52 F1: 0.250000
07/10 04:51:25 AM | [193  52   2   9]
07/10 04:51:32 AM | Valid: [  1/600] Final Recall 85.7447% FA 1549 F1: 33.2783%
07/10 04:51:32 AM | [5411 1549   67  403]
07/10 04:51:32 AM | Valid: Time Spent: 6.378084s
07/10 04:51:32 AM | [0.33278282411230387]
07/10 04:51:33 AM | Model size = 1.498 MB
07/10 04:51:33 AM | Epoch 0 LR 0.05
07/10 04:51:35 AM | Train: [  1/600] Step 000/071 Loss: 1.024 Recall: 0.435 FA: 41 F1: 0.493151
07/10 04:51:35 AM | [91 41 70 54]
07/10 04:51:55 AM | Train: [  1/600] Step 050/071 Loss: 0.531 Recall: 0.924 FA: 18 F1: 0.890688
07/10 04:51:55 AM | [119  18   9 110]
07/10 04:52:03 AM | Train: [  1/600] Step 071/071 Loss: 0.494 Recall: 1.000 FA: 12 F1: 0.750000
07/10 04:52:03 AM | [19 12  0 18]
07/10 04:52:04 AM | Train: [  1/600] Final Recall 85.5514% FA 1431 F1: 85.0248%
07/10 04:52:04 AM | [7672 1431 1318 7804]
07/10 04:52:04 AM | Valid: [  1/600] Step 000/061 Loss: 0.878 Recall: 0.471 FA: 54 F1: 0.202532
07/10 04:52:04 AM | [185  54   9   8]
07/10 04:52:08 AM | Valid: [  1/600] Final Recall 76.6094% FA 1586 F1: 29.6389%
07/10 04:52:08 AM | [5628 1586  109  357]
07/10 04:52:08 AM | Valid: Time Spent: 4.368189s
07/10 04:52:08 AM | [0.29638854296388545]
07/10 04:52:10 AM | Model size = 1.342 MB
07/10 04:52:10 AM | Epoch 0 LR 0.05
07/10 04:52:11 AM | Train: [  1/600] Step 000/071 Loss: 0.993 Recall: 0.702 FA: 62 F1: 0.645614
07/10 04:52:11 AM | [63 62 39 92]
07/10 04:52:29 AM | Train: [  1/600] Step 050/071 Loss: 0.516 Recall: 0.946 FA: 22 F1: 0.894545
07/10 04:52:29 AM | [104  22   7 123]
07/10 04:52:36 AM | Train: [  1/600] Step 071/071 Loss: 0.474 Recall: 0.833 FA: 4 F1: 0.833333
07/10 04:52:36 AM | [21  4  4 20]
07/10 04:52:36 AM | Train: [  1/600] Final Recall 86.4706% FA 1404 F1: 85.7143%
07/10 04:52:36 AM | [7641 1404 1242 7938]
07/10 04:52:36 AM | Valid: [  1/600] Step 000/061 Loss: 0.236 Recall: 0.722 FA: 25 F1: 0.464286
07/10 04:52:36 AM | [213  25   5  13]
07/10 04:52:41 AM | Valid: [  1/600] Final Recall 78.9796% FA 847 F1: 44.8956%
07/10 04:52:41 AM | [6093  847  103  387]
07/10 04:52:41 AM | Valid: Time Spent: 5.217818s
07/10 04:52:41 AM | [0.44895591647331784]
07/10 04:52:45 AM | Model size = 1.725 MB
07/10 04:52:45 AM | Epoch 0 LR 0.05
07/10 04:52:46 AM | Train: [  1/600] Step 000/071 Loss: 1.001 Recall: 0.513 FA: 58 F1: 0.512605
07/10 04:52:46 AM | [79 58 58 61]
07/10 04:53:12 AM | Train: [  1/600] Step 050/071 Loss: 0.549 Recall: 0.884 FA: 13 F1: 0.887967
07/10 04:53:12 AM | [122  13  14 107]
07/10 04:53:23 AM | Train: [  1/600] Step 071/071 Loss: 0.510 Recall: 0.917 FA: 2 F1: 0.916667
07/10 04:53:23 AM | [23  2  2 22]
07/10 04:53:23 AM | Train: [  1/600] Final Recall 86.8470% FA 1657 F1: 84.7000%
07/10 04:53:23 AM | [7475 1657 1196 7897]
07/10 04:53:24 AM | Valid: [  1/600] Step 000/061 Loss: 0.206 Recall: 0.556 FA: 13 F1: 0.487805
07/10 04:53:24 AM | [225  13   8  10]
07/10 04:53:29 AM | Valid: [  1/600] Final Recall 44.7853% FA 358 F1: 41.0882%
07/10 04:53:29 AM | [6833  358  270  219]
07/10 04:53:29 AM | Valid: Time Spent: 5.853150s
07/10 04:53:29 AM | [0.4108818011257036]
07/10 04:53:33 AM | Model size = 1.234 MB
07/10 04:53:33 AM | Epoch 0 LR 0.05
07/10 04:53:34 AM | Train: [  1/600] Step 000/071 Loss: 1.095 Recall: 0.546 FA: 99 F1: 0.459364
07/10 04:53:34 AM | [38 99 54 65]
07/10 04:53:52 AM | Train: [  1/600] Step 050/071 Loss: 0.658 Recall: 0.648 FA: 26 F1: 0.700422
07/10 04:53:52 AM | [102  26  45  83]
07/10 04:53:59 AM | Train: [  1/600] Step 071/071 Loss: 0.608 Recall: 0.704 FA: 6 F1: 0.730769
07/10 04:53:59 AM | [16  6  8 19]
07/10 04:53:59 AM | Train: [  1/600] Final Recall 83.3844% FA 1690 F1: 82.6019%
07/10 04:53:59 AM | [7405 1690 1517 7613]
07/10 04:53:59 AM | Valid: [  1/600] Step 000/061 Loss: 1.327 Recall: 1.000 FA: 59 F1: 0.351648
07/10 04:53:59 AM | [181  59   0  16]
07/10 04:54:04 AM | Valid: [  1/600] Final Recall 75.1566% FA 1484 F1: 30.9944%
07/10 04:54:04 AM | [5467 1484  119  360]
07/10 04:54:04 AM | Valid: Time Spent: 4.853774s
07/10 04:54:04 AM | [0.3099440378820491]
07/10 04:54:08 AM | Model size = 1.386 MB
07/10 04:54:08 AM | Epoch 0 LR 0.05
07/10 04:54:09 AM | Train: [  1/600] Step 000/071 Loss: 1.004 Recall: 0.420 FA: 74 F1: 0.433213
07/10 04:54:09 AM | [39 74 83 60]
07/10 04:54:29 AM | Train: [  1/600] Step 050/071 Loss: 0.544 Recall: 0.917 FA: 19 F1: 0.884462
07/10 04:54:29 AM | [116  19  10 111]
07/10 04:54:38 AM | Train: [  1/600] Step 071/071 Loss: 0.494 Recall: 0.913 FA: 5 F1: 0.857143
07/10 04:54:38 AM | [21  5  2 21]
07/10 04:54:38 AM | Train: [  1/600] Final Recall 86.1169% FA 1438 F1: 85.3123%
07/10 04:54:38 AM | [7668 1438 1266 7853]
07/10 04:54:38 AM | Valid: [  1/600] Step 000/061 Loss: 0.333 Recall: 0.923 FA: 43 F1: 0.352941
07/10 04:54:38 AM | [200  43   1  12]
07/10 04:54:43 AM | Valid: [  1/600] Final Recall 91.5152% FA 1515 F1: 36.7844%
07/10 04:54:43 AM | [5670 1515   42  453]
07/10 04:54:43 AM | Valid: Time Spent: 5.049985s
07/10 04:54:43 AM | [0.3678440925700366]
07/10 04:54:45 AM | Model size = 1.413 MB
07/10 04:54:45 AM | Epoch 0 LR 0.05
07/10 04:54:46 AM | Train: [  1/600] Step 000/071 Loss: 0.997 Recall: 0.556 FA: 68 F1: 0.528736
07/10 04:54:46 AM | [64 68 55 69]
07/10 04:55:05 AM | Train: [  1/600] Step 050/071 Loss: 0.548 Recall: 0.927 FA: 14 F1: 0.909091
07/10 04:55:05 AM | [118  14   9 115]
07/10 04:55:12 AM | Train: [  1/600] Step 071/071 Loss: 0.504 Recall: 0.955 FA: 4 F1: 0.893617
07/10 04:55:12 AM | [23  4  1 21]
07/10 04:55:12 AM | Train: [  1/600] Final Recall 85.6767% FA 1550 F1: 84.5455%
07/10 04:55:12 AM | [7557 1550 1306 7812]
07/10 04:55:13 AM | Valid: [  1/600] Step 000/061 Loss: 0.386 Recall: 0.895 FA: 49 F1: 0.400000
07/10 04:55:13 AM | [188  49   2  17]
07/10 04:55:18 AM | Valid: [  1/600] Final Recall 85.5580% FA 1328 F1: 35.9375%
07/10 04:55:18 AM | [5645 1328   66  391]
07/10 04:55:18 AM | Valid: Time Spent: 5.325043s
07/10 04:55:18 AM | [0.35937499999999994]
07/10 04:55:21 AM | Model size = 1.673 MB
07/10 04:55:21 AM | Epoch 0 LR 0.05
07/10 04:55:23 AM | Train: [  1/600] Step 000/071 Loss: 0.981 Recall: 0.573 FA: 43 F1: 0.590308
07/10 04:55:23 AM | [96 43 50 67]
07/10 04:55:50 AM | Train: [  1/600] Step 050/071 Loss: 0.515 Recall: 0.942 FA: 25 F1: 0.876923
07/10 04:55:50 AM | [110  25   7 114]
07/10 04:56:01 AM | Train: [  1/600] Step 071/071 Loss: 0.474 Recall: 1.000 FA: 8 F1: 0.826087
07/10 04:56:01 AM | [22  8  0 19]
07/10 04:56:02 AM | Train: [  1/600] Final Recall 86.4394% FA 1428 F1: 85.5438%
07/10 04:56:02 AM | [7675 1428 1237 7885]
07/10 04:56:02 AM | Valid: [  1/600] Step 000/061 Loss: 0.682 Recall: 0.818 FA: 48 F1: 0.409091
07/10 04:56:02 AM | [186  48   4  18]
07/10 04:56:08 AM | Valid: [  1/600] Final Recall 86.1856% FA 1677 F1: 32.4031%
07/10 04:56:08 AM | [5518 1677   67  418]
07/10 04:56:08 AM | Valid: Time Spent: 6.296057s
07/10 04:56:08 AM | [0.324031007751938]
