07/10 12:48:38 AM | 
07/10 12:50:34 AM | Train: [  1/600] Final Recall 83.7355% FA 1627 F1: 83.0794%
07/10 12:50:34 AM | [7480 1627 1483 7635]
07/10 12:50:34 AM | Valid: [  1/600] Step 000/061 Loss: 3.974 Recall: 0.500 FA: 42 F1: 0.175439
07/10 12:50:34 AM | [204  42   5   5]
07/10 12:50:38 AM | Valid: [  1/600] Final Recall 70.7269% FA 1218 F1: 34.4993%
07/10 12:50:38 AM | [5953 1218  149  360]
07/10 12:50:38 AM | Valid: Time Spent: 3.835333s
07/10 12:50:38 AM | [0.34499281264973647]
07/10 12:50:39 AM | Model size = 1.522 MB
07/10 12:50:39 AM | Epoch 0 LR 0.05
07/10 12:50:40 AM | Train: [  1/600] Step 000/071 Loss: 1.026 Recall: 0.543 FA: 62 F1: 0.545455
07/10 12:50:40 AM | [56 62 63 75]
07/10 12:51:02 AM | Train: [  1/600] Step 050/071 Loss: 0.560 Recall: 0.867 FA: 7 F1: 0.903475
07/10 12:51:02 AM | [114   7  18 117]
07/10 12:51:10 AM | Train: [  1/600] Step 071/071 Loss: 0.511 Recall: 0.826 FA: 5 F1: 0.808511
07/10 12:51:10 AM | [21  5  4 19]
07/10 12:51:11 AM | Train: [  1/600] Final Recall 85.3872% FA 1559 F1: 84.3478%
07/10 12:51:11 AM | [7537 1559 1334 7795]
07/10 12:51:11 AM | Valid: [  1/600] Step 000/061 Loss: 4.123 Recall: 0.833 FA: 96 F1: 0.169492
07/10 12:51:11 AM | [148  96   2  10]
07/10 12:51:17 AM | Valid: [  1/600] Final Recall 84.3400% FA 2709 F1: 21.3416%
07/10 12:51:17 AM | [4274 2709   70  377]
07/10 12:51:17 AM | Valid: Time Spent: 6.612972s
07/10 12:51:17 AM | [0.2134163600339655]
07/10 12:51:20 AM | Model size = 1.488 MB
07/10 12:51:20 AM | Epoch 0 LR 0.05
07/10 12:51:22 AM | Train: [  1/600] Step 000/071 Loss: 0.971 Recall: 0.488 FA: 36 F1: 0.552632
07/10 12:51:22 AM | [91 36 66 63]
07/10 12:51:43 AM | Train: [  1/600] Step 050/071 Loss: 0.541 Recall: 0.817 FA: 20 F1: 0.827309
07/10 12:51:43 AM | [110  20  23 103]
07/10 12:51:52 AM | Train: [  1/600] Step 071/071 Loss: 0.506 Recall: 0.880 FA: 0 F1: 0.936170
07/10 12:51:52 AM | [24  0  3 22]
07/10 12:51:52 AM | Train: [  1/600] Final Recall 85.5319% FA 1596 F1: 84.2903%
07/10 12:51:52 AM | [7464 1596 1326 7839]
07/10 12:51:53 AM | Valid: [  1/600] Step 000/061 Loss: 0.521 Recall: 0.812 FA: 30 F1: 0.440678
07/10 12:51:53 AM | [210  30   3  13]
07/10 12:51:58 AM | Valid: [  1/600] Final Recall 73.2943% FA 960 F1: 40.6706%
07/10 12:51:58 AM | [6207  960  137  376]
07/10 12:51:58 AM | Valid: Time Spent: 5.514729s
07/10 12:51:58 AM | [0.4067063277447268]
07/10 12:52:01 AM | Model size = 1.121 MB
07/10 12:52:01 AM | Epoch 0 LR 0.05
07/10 12:52:02 AM | Train: [  1/600] Step 000/071 Loss: 1.114 Recall: 0.489 FA: 73 F1: 0.481752
07/10 12:52:02 AM | [48 73 69 66]
07/10 12:52:20 AM | Train: [  1/600] Step 050/071 Loss: 0.747 Recall: 0.888 FA: 22 F1: 0.865455
07/10 12:52:20 AM | [100  22  15 119]
07/10 12:52:27 AM | Train: [  1/600] Step 071/071 Loss: 0.701 Recall: 0.880 FA: 4 F1: 0.862745
07/10 12:52:27 AM | [20  4  3 22]
07/10 12:52:27 AM | Train: [  1/600] Final Recall 82.2671% FA 1786 F1: 81.6276%
07/10 12:52:27 AM | [7185 1786 1641 7613]
07/10 12:52:28 AM | Valid: [  1/600] Step 000/061 Loss: 0.765 Recall: 0.667 FA: 40 F1: 0.307692
07/10 12:52:28 AM | [201  40   5  10]
07/10 12:52:34 AM | Valid: [  1/600] Final Recall 77.7778% FA 1232 F1: 34.8633%
07/10 12:52:34 AM | [5739 1232  102  357]
07/10 12:52:34 AM | Valid: Time Spent: 6.380841s
07/10 12:52:34 AM | [0.34863281249999994]
07/10 12:52:35 AM | Model size = 1.554 MB
07/10 12:52:35 AM | Epoch 0 LR 0.05
07/10 12:52:37 AM | Train: [  1/600] Step 000/071 Loss: 1.046 Recall: 0.374 FA: 79 F1: 0.391459
07/10 12:52:37 AM | [30 79 92 55]
07/10 12:53:00 AM | Train: [  1/600] Step 050/071 Loss: 0.571 Recall: 0.922 FA: 23 F1: 0.869919
07/10 12:53:00 AM | [117  23   9 107]
07/10 12:53:09 AM | Train: [  1/600] Step 071/071 Loss: 0.524 Recall: 0.920 FA: 4 F1: 0.884615
07/10 12:53:09 AM | [20  4  2 23]
07/10 12:53:09 AM | Train: [  1/600] Final Recall 84.7821% FA 1627 F1: 83.7332%
07/10 12:53:09 AM | [7418 1627 1397 7783]
07/10 12:53:10 AM | Valid: [  1/600] Step 000/061 Loss: 0.553 Recall: 0.625 FA: 42 F1: 0.181818
07/10 12:53:10 AM | [206  42   3   5]
07/10 12:53:15 AM | Valid: [  1/600] Final Recall 69.6429% FA 948 F1: 38.9351%
07/10 12:53:15 AM | [6228  948  153  351]
07/10 12:53:15 AM | Valid: Time Spent: 6.048981s
07/10 12:53:15 AM | [0.389351081530782]
07/10 12:53:19 AM | Model size = 1.409 MB
07/10 12:53:19 AM | Epoch 0 LR 0.05
07/10 12:53:20 AM | Train: [  1/600] Step 000/071 Loss: 0.929 Recall: 0.723 FA: 44 F1: 0.701493
07/10 12:53:20 AM | [82 44 36 94]
07/10 12:53:40 AM | Train: [  1/600] Step 050/071 Loss: 0.553 Recall: 0.885 FA: 16 F1: 0.881226
07/10 12:53:40 AM | [110  16  15 115]
07/10 12:53:47 AM | Train: [  1/600] Step 071/071 Loss: 0.509 Recall: 0.952 FA: 5 F1: 0.869565
07/10 12:53:47 AM | [23  5  1 20]
07/10 12:53:48 AM | Train: [  1/600] Final Recall 85.7802% FA 1577 F1: 84.4723%
07/10 12:53:48 AM | [7541 1577 1295 7812]
07/10 12:53:48 AM | Valid: [  1/600] Step 000/061 Loss: 0.368 Recall: 0.917 FA: 44 F1: 0.488889
07/10 12:53:48 AM | [188  44   2  22]
07/10 12:53:53 AM | Valid: [  1/600] Final Recall 87.2727% FA 1689 F1: 33.0275%
07/10 12:53:53 AM | [5246 1689   63  432]
07/10 12:53:53 AM | Valid: Time Spent: 5.204982s
07/10 12:53:53 AM | [0.33027522935779813]
07/10 12:53:54 AM | Model size = 1.308 MB
07/10 12:53:54 AM | Epoch 0 LR 0.05
07/10 12:53:56 AM | Train: [  1/600] Step 000/071 Loss: 1.074 Recall: 0.425 FA: 36 F1: 0.502203
07/10 12:53:56 AM | [86 36 77 57]
07/10 12:54:12 AM | Train: [  1/600] Step 050/071 Loss: 0.623 Recall: 0.767 FA: 12 F1: 0.825911
07/10 12:54:12 AM | [111  12  31 102]
07/10 12:54:19 AM | Train: [  1/600] Step 071/071 Loss: 0.564 Recall: 0.947 FA: 6 F1: 0.837209
07/10 12:54:19 AM | [24  6  1 18]
07/10 12:54:19 AM | Train: [  1/600] Final Recall 84.3874% FA 1652 F1: 83.3089%
07/10 12:54:19 AM | [7497 1652 1417 7659]
07/10 12:54:19 AM | Valid: [  1/600] Step 000/061 Loss: 1.265 Recall: 0.895 FA: 48 F1: 0.404762
07/10 12:54:19 AM | [189  48   2  17]
07/10 12:54:23 AM | Valid: [  1/600] Final Recall 86.9474% FA 1459 F1: 35.1939%
07/10 12:54:23 AM | [5746 1459   62  413]
07/10 12:54:23 AM | Valid: Time Spent: 4.209799s
07/10 12:54:23 AM | [0.35193864507882405]
07/10 12:54:25 AM | Model size = 1.410 MB
07/10 12:54:25 AM | Epoch 0 LR 0.05
07/10 12:54:26 AM | Train: [  1/600] Step 000/071 Loss: 1.013 Recall: 0.472 FA: 62 F1: 0.477366
07/10 12:54:26 AM | [71 62 65 58]
07/10 12:54:46 AM | Train: [  1/600] Step 050/071 Loss: 0.586 Recall: 0.852 FA: 15 F1: 0.863071
07/10 12:54:46 AM | [119  15  18 104]
07/10 12:54:54 AM | Train: [  1/600] Step 071/071 Loss: 0.524 Recall: 0.957 FA: 1 F1: 0.956522
07/10 12:54:54 AM | [25  1  1 22]
07/10 12:54:54 AM | Train: [  1/600] Final Recall 83.5044% FA 1532 F1: 83.3343%
07/10 12:54:54 AM | [7630 1532 1495 7568]
07/10 12:54:54 AM | Valid: [  1/600] Step 000/061 Loss: 1.137 Recall: 0.900 FA: 57 F1: 0.378947
07/10 12:54:54 AM | [179  57   2  18]
07/10 12:54:59 AM | Valid: [  1/600] Final Recall 85.5319% FA 1407 F1: 35.2786%
07/10 12:54:59 AM | [5553 1407   68  402]
07/10 12:54:59 AM | Valid: Time Spent: 4.994507s
07/10 12:54:59 AM | [0.35278630978499337]
07/10 12:55:01 AM | Model size = 1.523 MB
07/10 12:55:01 AM | Epoch 0 LR 0.05
07/10 12:55:02 AM | Train: [  1/600] Step 000/071 Loss: 1.041 Recall: 0.444 FA: 42 F1: 0.492891
07/10 12:55:02 AM | [97 42 65 52]
07/10 12:55:23 AM | Train: [  1/600] Step 050/071 Loss: 0.566 Recall: 0.867 FA: 24 F1: 0.838710
07/10 12:55:23 AM | [112  24  16 104]
07/10 12:55:31 AM | Train: [  1/600] Step 071/071 Loss: 0.532 Recall: 0.905 FA: 4 F1: 0.863636
07/10 12:55:31 AM | [24  4  2 19]
07/10 12:55:31 AM | Train: [  1/600] Final Recall 85.2448% FA 1781 F1: 83.1036%
07/10 12:55:31 AM | [7498 1781 1320 7626]
07/10 12:55:31 AM | Valid: [  1/600] Step 000/061 Loss: 1.683 Recall: 1.000 FA: 131 F1: 0.176101
07/10 12:55:31 AM | [111 131   0  14]
07/10 12:55:36 AM | Valid: [  1/600] Final Recall 95.4635% FA 3582 F1: 21.1677%
07/10 12:55:36 AM | [3591 3582   23  484]
07/10 12:55:36 AM | Valid: Time Spent: 4.587789s
07/10 12:55:36 AM | [0.21167723595014218]
07/10 12:55:37 AM | Model size = 1.349 MB
07/10 12:55:37 AM | Epoch 0 LR 0.05
07/10 12:55:39 AM | Train: [  1/600] Step 000/071 Loss: 0.948 Recall: 0.476 FA: 62 F1: 0.481633
07/10 12:55:39 AM | [70 62 65 59]
07/10 12:55:57 AM | Train: [  1/600] Step 050/071 Loss: 0.562 Recall: 0.875 FA: 22 F1: 0.854962
07/10 12:55:57 AM | [106  22  16 112]
07/10 12:56:05 AM | Train: [  1/600] Step 071/071 Loss: 0.512 Recall: 0.864 FA: 4 F1: 0.844444
07/10 12:56:05 AM | [23  4  3 19]
07/10 12:56:05 AM | Train: [  1/600] Final Recall 85.5109% FA 1481 F1: 84.7774%
07/10 12:56:05 AM | [7613 1481 1323 7808]
07/10 12:56:05 AM | Valid: [  1/600] Step 000/061 Loss: 0.705 Recall: 0.889 FA: 38 F1: 0.444444
07/10 12:56:05 AM | [200  38   2  16]
07/10 12:56:10 AM | Valid: [  1/600] Final Recall 87.0763% FA 1109 F1: 41.2651%
07/10 12:56:10 AM | [5849 1109   61  411]
07/10 12:56:10 AM | Valid: Time Spent: 5.197341s
07/10 12:56:10 AM | [0.4126506024096385]
07/10 12:56:11 AM | Model size = 1.326 MB
07/10 12:56:11 AM | Epoch 0 LR 0.05
07/10 12:56:12 AM | Train: [  1/600] Step 000/071 Loss: 0.879 Recall: 0.645 FA: 35 F1: 0.666667
07/10 12:56:12 AM | [100  35  43  78]
07/10 12:56:31 AM | Train: [  1/600] Step 050/071 Loss: 0.513 Recall: 0.924 FA: 28 F1: 0.856031
07/10 12:56:31 AM | [109  28   9 110]
07/10 12:56:39 AM | Train: [  1/600] Step 071/071 Loss: 0.479 Recall: 0.905 FA: 3 F1: 0.883721
07/10 12:56:39 AM | [25  3  2 19]
07/10 12:56:39 AM | Train: [  1/600] Final Recall 86.3462% FA 1443 F1: 85.4134%
07/10 12:56:39 AM | [7671 1443 1244 7867]
07/10 12:56:39 AM | Valid: [  1/600] Step 000/061 Loss: 0.325 Recall: 0.941 FA: 34 F1: 0.477612
07/10 12:56:39 AM | [205  34   1  16]
07/10 12:56:43 AM | Valid: [  1/600] Final Recall 86.1660% FA 1603 F1: 34.2633%
07/10 12:56:43 AM | [5571 1603   70  436]
07/10 12:56:43 AM | Valid: Time Spent: 4.058445s
07/10 12:56:43 AM | [0.3426326129666012]
07/10 12:56:44 AM | Model size = 1.503 MB
07/10 12:56:44 AM | Epoch 0 LR 0.05
07/10 12:56:46 AM | Train: [  1/600] Step 000/071 Loss: 0.919 Recall: 0.607 FA: 37 F1: 0.631111
07/10 12:56:46 AM | [102  37  46  71]
07/10 12:57:07 AM | Train: [  1/600] Step 050/071 Loss: 0.547 Recall: 0.927 FA: 28 F1: 0.848739
07/10 12:57:07 AM | [119  28   8 101]
07/10 12:57:15 AM | Train: [  1/600] Step 071/071 Loss: 0.501 Recall: 0.952 FA: 2 F1: 0.930233
07/10 12:57:15 AM | [26  2  1 20]
07/10 12:57:15 AM | Train: [  1/600] Final Recall 85.5936% FA 1540 F1: 84.4483%
07/10 12:57:15 AM | [7689 1540 1296 7700]
07/10 12:57:15 AM | Valid: [  1/600] Step 000/061 Loss: 0.874 Recall: 0.944 FA: 39 F1: 0.459459
07/10 12:57:15 AM | [199  39   1  17]
07/10 12:57:20 AM | Valid: [  1/600] Final Recall 81.7582% FA 1163 F1: 37.3869%
07/10 12:57:20 AM | [5812 1163   83  372]
07/10 12:57:20 AM | Valid: Time Spent: 5.220059s
07/10 12:57:20 AM | [0.37386934673366834]
07/10 12:57:22 AM | Model size = 1.221 MB
07/10 12:57:22 AM | Epoch 0 LR 0.05
07/10 12:57:23 AM | Train: [  1/600] Step 000/071 Loss: 1.160 Recall: 0.294 FA: 84 F1: 0.294118
07/10 12:57:23 AM | [53 84 84 35]
07/10 12:57:39 AM | Train: [  1/600] Step 050/071 Loss: 0.609 Recall: 0.956 FA: 31 F1: 0.857143
07/10 12:57:39 AM | [112  31   5 108]
07/10 12:57:46 AM | Train: [  1/600] Step 071/071 Loss: 0.555 Recall: 0.833 FA: 4 F1: 0.833333
07/10 12:57:46 AM | [21  4  4 20]
07/10 12:57:46 AM | Train: [  1/600] Final Recall 83.3498% FA 1645 F1: 82.7781%
07/10 12:57:46 AM | [7457 1645 1519 7604]
07/10 12:57:46 AM | Valid: [  1/600] Step 000/061 Loss: 3.381 Recall: 0.800 FA: 116 F1: 0.210526
07/10 12:57:46 AM | [120 116   4  16]
07/10 12:57:49 AM | Valid: [  1/600] Final Recall 83.8323% FA 3545 F1: 18.8088%
07/10 12:57:49 AM | [3634 3545   81  420]
07/10 12:57:49 AM | Valid: Time Spent: 3.528548s
07/10 12:57:49 AM | [0.18808777429467086]
07/10 12:57:51 AM | Model size = 1.405 MB
07/10 12:57:51 AM | Epoch 0 LR 0.05
07/10 12:57:52 AM | Train: [  1/600] Step 000/071 Loss: 1.143 Recall: 0.462 FA: 91 F1: 0.427046
07/10 12:57:52 AM | [35 91 70 60]
07/10 12:58:14 AM | Train: [  1/600] Step 050/071 Loss: 0.631 Recall: 0.793 FA: 11 F1: 0.847328
07/10 12:58:14 AM | [105  11  29 111]
07/10 12:58:22 AM | Train: [  1/600] Step 071/071 Loss: 0.572 Recall: 0.957 FA: 5 F1: 0.880000
07/10 12:58:22 AM | [21  5  1 22]
07/10 12:58:22 AM | Train: [  1/600] Final Recall 83.4077% FA 1773 F1: 82.2923%
07/10 12:58:22 AM | [7267 1773 1524 7661]
07/10 12:58:22 AM | Valid: [  1/600] Step 000/061 Loss: 0.711 Recall: 0.600 FA: 61 F1: 0.258065
07/10 12:58:22 AM | [175  61   8  12]
07/10 12:58:27 AM | Valid: [  1/600] Final Recall 74.3381% FA 1956 F1: 25.9602%
07/10 12:58:27 AM | [4983 1956  126  365]
07/10 12:58:27 AM | Valid: Time Spent: 5.090243s
07/10 12:58:27 AM | [0.259601706970128]
07/10 12:58:29 AM | Model size = 1.400 MB
07/10 12:58:29 AM | Epoch 0 LR 0.05
07/10 12:58:30 AM | Train: [  1/600] Step 000/071 Loss: 1.123 Recall: 0.264 FA: 99 F1: 0.253968
07/10 12:58:30 AM | [36 99 89 32]
07/10 12:58:48 AM | Train: [  1/600] Step 050/071 Loss: 0.594 Recall: 0.903 FA: 23 F1: 0.864865
07/10 12:58:48 AM | [109  23  12 112]
07/10 12:58:56 AM | Train: [  1/600] Step 071/071 Loss: 0.532 Recall: 0.864 FA: 5 F1: 0.826087
07/10 12:58:56 AM | [22  5  3 19]
07/10 12:58:56 AM | Train: [  1/600] Final Recall 84.0668% FA 1598 F1: 83.3434%
07/10 12:58:56 AM | [7583 1598 1441 7603]
07/10 12:58:56 AM | Valid: [  1/600] Step 000/061 Loss: 0.410 Recall: 0.818 FA: 17 F1: 0.486486
07/10 12:58:56 AM | [228  17   2   9]
07/10 12:59:00 AM | Valid: [  1/600] Final Recall 72.1074% FA 771 F1: 43.5162%
07/10 12:59:00 AM | [6425  771  135  349]
07/10 12:59:00 AM | Valid: Time Spent: 4.118693s
07/10 12:59:00 AM | [0.4351620947630922]
07/10 12:59:02 AM | Model size = 1.223 MB
07/10 12:59:02 AM | Epoch 0 LR 0.05
07/10 12:59:03 AM | Train: [  1/600] Step 000/071 Loss: 1.042 Recall: 0.366 FA: 56 F1: 0.410042
07/10 12:59:03 AM | [66 56 85 49]
07/10 12:59:20 AM | Train: [  1/600] Step 050/071 Loss: 0.565 Recall: 0.720 FA: 12 F1: 0.794979
07/10 12:59:20 AM | [112  12  37  95]
07/10 12:59:27 AM | Train: [  1/600] Step 071/071 Loss: 0.539 Recall: 0.846 FA: 2 F1: 0.880000
07/10 12:59:27 AM | [21  2  4 22]
07/10 12:59:27 AM | Train: [  1/600] Final Recall 85.3757% FA 1609 F1: 84.1676%
07/10 12:59:27 AM | [7419 1609 1345 7852]
07/10 12:59:27 AM | Valid: [  1/600] Step 000/061 Loss: 0.195 Recall: 0.167 FA: 12 F1: 0.153846
07/10 12:59:27 AM | [232  12  10   2]
07/10 12:59:32 AM | Valid: [  1/600] Final Recall 26.1905% FA 242 F1: 29.3333%
07/10 12:59:32 AM | [6726  242  341  121]
07/10 12:59:32 AM | Valid: Time Spent: 5.188934s
07/10 12:59:32 AM | [0.29333333333333333]
07/10 12:59:34 AM | Model size = 1.130 MB
07/10 12:59:34 AM | Epoch 0 LR 0.05
07/10 12:59:35 AM | Train: [  1/600] Step 000/071 Loss: 1.000 Recall: 0.354 FA: 53 F1: 0.400000
07/10 12:59:35 AM | [76 53 82 45]
07/10 12:59:49 AM | Train: [  1/600] Step 050/071 Loss: 0.692 Recall: 0.894 FA: 18 F1: 0.876494
07/10 12:59:49 AM | [115  18  13 110]
07/10 12:59:55 AM | Train: [  1/600] Step 071/071 Loss: 0.616 Recall: 0.947 FA: 6 F1: 0.837209
07/10 12:59:55 AM | [24  6  1 18]
07/10 12:59:55 AM | Train: [  1/600] Final Recall 83.0214% FA 1699 F1: 82.3099%
07/10 12:59:55 AM | [7444 1699 1542 7540]
07/10 12:59:55 AM | Valid: [  1/600] Step 000/061 Loss: 0.752 Recall: 0.900 FA: 49 F1: 0.413793
07/10 12:59:55 AM | [187  49   2  18]
07/10 12:59:59 AM | Valid: [  1/600] Final Recall 86.4603% FA 1346 F1: 38.7013%
07/10 12:59:59 AM | [5817 1346   70  447]
07/10 12:59:59 AM | Valid: Time Spent: 3.410431s
07/10 12:59:59 AM | [0.38701298701298703]
07/10 01:00:00 AM | Model size = 1.353 MB
07/10 01:00:00 AM | Epoch 0 LR 0.05
07/10 01:00:01 AM | Train: [  1/600] Step 000/071 Loss: 1.025 Recall: 0.589 FA: 94 F1: 0.508361
07/10 01:00:01 AM | [33 94 53 76]
07/10 01:00:23 AM | Train: [  1/600] Step 050/071 Loss: 0.518 Recall: 0.922 FA: 16 F1: 0.895397
07/10 01:00:23 AM | [124  16   9 107]
07/10 01:00:31 AM | Train: [  1/600] Step 071/071 Loss: 0.471 Recall: 0.870 FA: 6 F1: 0.816327
07/10 01:00:31 AM | [20  6  3 20]
07/10 01:00:32 AM | Train: [  1/600] Final Recall 86.8238% FA 1379 F1: 85.9301%
07/10 01:00:32 AM | [7807 1379 1191 7848]
07/10 01:00:32 AM | Valid: [  1/600] Step 000/061 Loss: 0.299 Recall: 0.688 FA: 23 F1: 0.440000
07/10 01:00:32 AM | [217  23   5  11]
07/10 01:00:37 AM | Valid: [  1/600] Final Recall 57.5630% FA 557 F1: 41.9281%
07/10 01:00:37 AM | [6397  557  202  274]
07/10 01:00:37 AM | Valid: Time Spent: 5.829653s
07/10 01:00:37 AM | [0.4192807957153787]
07/10 01:00:40 AM | Model size = 1.580 MB
07/10 01:00:40 AM | Epoch 0 LR 0.05
07/10 01:00:42 AM | Train: [  1/600] Step 000/071 Loss: 1.054 Recall: 0.282 FA: 37 F1: 0.352941
07/10 01:00:42 AM | [102  37  84  33]
07/10 01:01:05 AM | Train: [  1/600] Step 050/071 Loss: 0.556 Recall: 0.913 FA: 17 F1: 0.896797
07/10 01:01:05 AM | [101  17  12 126]
07/10 01:01:14 AM | Train: [  1/600] Step 071/071 Loss: 0.512 Recall: 0.947 FA: 6 F1: 0.837209
07/10 01:01:14 AM | [24  6  1 18]
07/10 01:01:14 AM | Train: [  1/600] Final Recall 85.9344% FA 1636 F1: 84.3777%
07/10 01:01:14 AM | [7375 1636 1296 7918]
07/10 01:01:14 AM | Valid: [  1/600] Step 000/061 Loss: 0.602 Recall: 0.778 FA: 63 F1: 0.294737
07/10 01:01:14 AM | [175  63   4  14]
07/10 01:01:19 AM | Valid: [  1/600] Final Recall 81.9127% FA 2083 F1: 26.6396%
07/10 01:01:19 AM | [5116 2083   87  394]
07/10 01:01:19 AM | Valid: Time Spent: 4.890288s
07/10 01:01:19 AM | [0.26639621365787697]
07/10 01:01:21 AM | Model size = 1.504 MB
07/10 01:01:21 AM | Epoch 0 LR 0.05
07/10 01:01:22 AM | Train: [  1/600] Step 000/071 Loss: 0.954 Recall: 0.676 FA: 90 F1: 0.538745
07/10 01:01:22 AM | [58 90 35 73]
07/10 01:01:44 AM | Train: [  1/600] Step 050/071 Loss: 0.568 Recall: 0.883 FA: 12 F1: 0.893281
07/10 01:01:44 AM | [116  12  15 113]
07/10 01:01:53 AM | Train: [  1/600] Step 071/071 Loss: 0.517 Recall: 0.733 FA: 2 F1: 0.814815
07/10 01:01:53 AM | [17  2  8 22]
07/10 01:01:53 AM | Train: [  1/600] Final Recall 85.3734% FA 1596 F1: 84.1097%
07/10 01:01:53 AM | [7577 1596 1324 7728]
07/10 01:01:53 AM | Valid: [  1/600] Step 000/061 Loss: 0.234 Recall: 0.083 FA: 1 F1: 0.142857
07/10 01:01:53 AM | [243   1  11   1]
07/10 01:01:58 AM | Valid: [  1/600] Final Recall 4.9180% FA 56 F1: 8.4507%
07/10 01:01:58 AM | [6886   56  464   24]
07/10 01:01:58 AM | Valid: Time Spent: 5.521582s
07/10 01:01:58 AM | [0.08450704225352113]
07/10 01:02:00 AM | Model size = 1.549 MB
07/10 01:02:00 AM | Epoch 0 LR 0.05
07/10 01:02:01 AM | Train: [  1/600] Step 000/071 Loss: 0.975 Recall: 0.625 FA: 26 F1: 0.688259
07/10 01:02:01 AM | [94 26 51 85]
07/10 01:02:24 AM | Train: [  1/600] Step 050/071 Loss: 0.562 Recall: 0.884 FA: 15 F1: 0.889655
07/10 01:02:24 AM | [ 95  15  17 129]
07/10 01:02:33 AM | Train: [  1/600] Step 071/071 Loss: 0.520 Recall: 0.857 FA: 5 F1: 0.818182
07/10 01:02:33 AM | [23  5  3 18]
07/10 01:02:33 AM | Train: [  1/600] Final Recall 85.2745% FA 1614 F1: 84.0315%
07/10 01:02:33 AM | [7484 1614 1344 7783]
07/10 01:02:33 AM | Valid: [  1/600] Step 000/061 Loss: 0.534 Recall: 0.733 FA: 47 F1: 0.301370
07/10 01:02:33 AM | [194  47   4  11]
07/10 01:02:39 AM | Valid: [  1/600] Final Recall 78.5141% FA 1024 F1: 40.8782%
07/10 01:02:39 AM | [6158 1024  107  391]
07/10 01:02:39 AM | Valid: Time Spent: 5.443633s
07/10 01:02:39 AM | [0.40878201777313117]
